,municipio,V1,V2,V3,V8,V9,V10,V17,V20,V21,V25,V26,V34,V39,uf
1659,SANTO ANDRE,55.0,0.328073,2.10909,1.81818,1.81818,9.09091,2.43848,0.0,1.81818,3900.0,0.0,7.27273,41.8182,SP
1660,ITANHAEM,57.0,61.3208,4.77193,5.26316,68.4211,17.5439,11.177,1.75439,5.26316,842.105,0.0,35.0877,45.614,SP
1661,MAUA DA SERRA,168.0,40.5075,3.2619,30.9524,8.33333,27.381,19.8438,12.5,10.119,9181.32,3525.52,54.7619,43.4524,PR
1662,PEROBAL,658.0,57.7322,2.66109,26.1398,2.43161,65.8055,39.5736,36.4742,25.076,3708.26,2968.8,36.6972,40.5775,PR
1663,CANELINHA,210.0,29.0839,1.7,16.6667,4.28571,48.5714,27.6573,55.2381,8.09524,3777.78,0.0,40.4762,61.9048,SC
1664,SAO JOSE DA BOA VISTA,805.0,43.7283,2.21615,20.9938,2.36025,68.323,26.981,32.5466,30.1863,5800.45,3923.28,42.5693,56.3975,PR
1665,JUQUITIBA,123.0,66.6563,3.17073,2.43902,8.94309,42.2764,2.16519,4.06504,4.06504,9095.92,0.0,4.91803,30.0813,SP
1666,MIRAGUAI,656.0,15.2312,2.47409,61.7378,0.0,35.9756,17.6814,26.2195,58.3841,4701.21,3086.27,82.9268,76.5244,RS
1667,MUNDO NOVO,424.0,80.7098,4.34198,34.9057,0.471698,58.4906,43.0591,41.0377,29.0094,3557.19,2966.83,39.8585,44.1038,MS
1668,ALTONIA,1571.0,28.4266,2.1725,14.9586,13.5582,66.1362,61.9105,50.923,16.1044,4816.67,3178.81,27.8877,45.0032,PR
1669,FENIX,322.0,61.5001,4.1118,71.4286,1.86335,25.4658,8.02972,18.0124,13.354,5952.23,3614.62,85.7143,40.0621,PR
1670,RIVERSUL,422.0,84.6048,2.11137,13.7441,0.7109,75.1185,66.2017,36.4929,41.9431,6384.4,3516.79,28.673,59.0047,SP
1671,FIGUEIRA,326.0,31.5642,2.32209,26.0736,18.4049,48.4663,39.2141,36.5031,8.58896,4482.53,2774.67,21.2963,41.7178,PR
1672,SAO MIGUEL ARCANJO,1916.0,39.5962,4.0214,8.14196,32.9854,17.6931,17.6521,16.0752,5.2714,7935.89,4174.28,80.2192,55.8455,SP
1673,SANTOS,1.0,0.05,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,SP
1674,ARARUNA,611.0,71.1624,2.81178,47.9542,5.40098,36.9885,12.7258,33.5516,15.2209,5096.17,3314.81,66.1211,43.2079,PR
1675,SAPOPEMA,653.0,88.1526,2.77948,8.72894,4.13476,73.9663,64.2342,69.5253,12.5574,3241.31,3321.3,33.8438,45.9418,PR
1676,WENCESLAU BRAZ,1166.0,29.8999,1.95969,33.3619,3.00172,55.7461,31.8074,33.1046,20.4117,5405.72,3892.4,38.601,48.8851,PR
1677,JAPORA,922.0,29.7238,3.71692,41.6486,1.19306,55.7484,77.4214,22.9935,30.3688,3061.65,2672.04,20.6074,47.0716,MS
1678,SAGRES,216.0,58.9215,2.92593,6.01852,9.25926,83.3333,57.3434,65.7407,14.3519,4409.8,0.0,6.48148,41.2037,SP
1679,SETE QUEDAS,262.0,317.351,3.71374,39.313,0.381679,58.7786,51.442,50.0,9.54198,4355.08,2968.63,41.8605,40.458,MS
1680,RIO BOM,313.0,46.8016,2.32907,53.6741,3.19489,38.6581,49.0773,42.1725,17.2524,4532.34,3238.35,70.2875,38.9776,PR
1681,PINHALAO,616.0,23.5015,4.48214,10.5519,62.8247,19.4805,31.4464,30.6818,4.70779,5428.63,2960.49,76.461,45.9416,PR
1682,PILAR DO SUL,692.0,71.1768,4.08237,8.67052,42.341,27.0231,10.4998,22.5434,7.80347,7836.64,3572.91,73.2558,39.8844,SP
1683,TAMARANA,597.0,61.4463,3.40369,32.6633,3.01508,38.3585,18.7403,20.603,19.263,7066.49,3444.39,59.464,44.3886,PR
1684,MARIA HELENA,763.0,58.2871,2.38139,18.6107,6.42202,69.4626,64.4933,56.7497,14.941,5256.73,3187.72,45.8005,48.6239,PR
1685,QUINTA DO SOL,258.0,116.457,4.78682,81.3953,0.387597,14.3411,9.69918,19.7674,15.8915,5148.32,3398.5,90.6977,41.0853,PR
1686,PEROLA,581.0,35.7014,2.18589,4.30293,6.71256,86.5749,82.6888,62.8227,25.6454,1088.24,0.0,59.5525,42.5129,PR
1687,NOVO ITACOLOMI,422.0,25.8865,1.90995,29.3839,18.7204,50.9479,58.468,44.5498,11.1374,4983.5,3433.82,59.7156,50.7109,PR
1688,KALORE,441.0,39.8383,3.09524,67.1202,0.680272,27.6644,20.137,33.5601,9.97732,4762.49,3557.03,83.4467,48.9796,PR
1689,BOA ESPERANCA,378.0,76.1118,3.10317,78.0423,1.0582,19.3122,2.14032,16.1376,14.2857,5700.91,3884.02,84.127,39.418,PR
1690,ITABERA,946.0,91.1314,3.19979,49.26,2.11416,31.1839,18.8902,28.8584,21.5645,6812.13,4197.33,72.3517,60.9937,SP
1691,TUNEIRAS DO OESTE,720.0,72.3305,3.98889,29.5833,3.19444,64.4444,35.9724,40.2778,32.6389,3886.58,3194.04,41.4465,42.9167,PR
1692,RANCHO ALEGRE DOESTE,240.0,91.7686,3.3875,85.4167,0.0,12.9167,6.23719,6.25,8.33333,5851.7,3707.45,88.3333,44.5833,PR
1693,ITAPECERICA DA SERRA,87.0,7.81243,4.14943,1.14943,1.14943,19.5402,22.1383,3.44828,5.74713,600.0,0.0,25.2874,36.7816,SP
1694,SARAPUI,348.0,69.9725,3.82471,12.069,12.3563,62.069,39.197,48.2759,13.7931,7381.18,3544.67,41.092,47.4138,SP
1695,MARUMBI,372.0,43.8061,3.22043,52.4194,15.0538,28.7634,38.5211,23.6559,4.83871,4156.19,3335.29,54.3011,50.5376,PR
1696,ENGENHEIRO BELTRAO,543.0,79.4769,3.20626,66.8508,2.02578,23.2044,6.11664,20.2578,11.9705,5570.52,3364.45,78.1885,32.0442,PR
1697,XAMBRE,612.0,53.692,2.37909,9.31373,3.26797,83.4967,70.3767,50.0,33.8235,1708.97,2626.9,26.7652,50.1634,PR
1698,BOM SUCESSO,363.0,80.8193,5.98898,34.1598,6.61157,46.832,28.4552,33.6088,7.7135,4757.05,3206.38,54.5455,43.2507,PR
1699,RIBEIRAO PIRES,12.0,2.95717,2.08333,8.33333,0.0,25.0,0.569239,0.0,0.0,0.0,0.0,33.3333,75.0,SP
1700,MAUA,34.0,1.55897,1.88235,11.7647,0.0,5.88235,15.6589,2.94118,0.0,12447.8,0.0,14.7059,64.7059,SP
1701,ELDORADO,427.0,234.263,4.40047,25.5269,0.702576,71.4286,47.716,47.3068,29.5082,3962.45,2798.51,40.0468,48.9461,MS
1702,IBIUNA,1240.0,14.8319,5.01129,3.46774,1.20968,5.24194,5.91782,1.6129,1.6129,6536.73,5371.25,75.6452,55.2419,SP
1703,ITAPEVA,1231.0,111.382,4.10642,41.1048,1.54346,34.931,14.0092,28.7571,19.2526,7992.41,3972.48,58.3266,52.9651,SP
1704,JUPI,1476.0,4.59459,3.38279,66.9377,0.271003,31.5041,44.2596,44.3089,5.3523,404.256,200.0,18.9024,69.7154,PE
1705,MARILANDIA DO SUL,435.0,78.5421,3.43448,52.1839,1.6092,27.8161,13.3687,22.2989,14.4828,8763.84,3526.31,77.2414,48.046,PR
1706,ITAMBE,243.0,80.8006,3.85597,77.7778,2.88066,18.107,9.36551,13.1687,3.7037,5647.11,3479.82,78.1893,41.5638,PR
1707,CAMOCIM DE SAO FELIX,322.0,7.83671,2.99689,46.2733,4.65839,20.4969,51.5131,13.9752,9.31677,464.524,0.0,38.8199,42.8571,PE
1708,IBAITI,1453.0,49.305,3.25809,15.3476,26.7722,53.2003,56.3042,49.4838,15.2787,4325.22,3515.16,50.4473,54.5767,PR
1709,PIEDADE,1722.0,16.0932,3.79733,5.28455,2.09059,7.20093,18.1528,6.15563,2.14866,8070.75,1907.18,81.5912,62.892,SP
1710,BURI,530.0,179.319,5.18868,24.1509,3.39623,30.1887,13.0936,19.8113,16.2264,6782.27,4054.55,49.1493,35.283,SP
1711,COTIA,183.0,10.0334,5.91803,2.73224,0.546448,13.6612,8.88178,4.91803,2.73224,4257.76,0.0,65.0273,38.7978,SP
1712,TOMAZINA,1290.0,36.4228,3.15504,16.2791,24.2636,53.0233,55.2434,46.8992,18.062,4853.16,3743.73,46.8992,51.938,PR
1713,SIQUEIRA CAMPOS,1071.0,17.9088,2.01027,10.9244,18.0205,68.4407,69.32,48.4594,15.9664,4587.75,2811.03,14.9533,54.5285,PR
1714,FAXINALZINHO,287.0,40.7586,2.39721,57.1429,0.348432,40.0697,25.8848,36.5854,37.2822,9182.77,3918.75,90.5923,59.5819,RS
1715,SALTO DO ITARARE,469.0,30.6267,2.07889,5.33049,16.4179,76.7591,71.1229,56.0768,25.3731,2723.89,2774.82,6.60981,61.4072,PR
1716,CORONEL MACEDO,284.0,85.4128,3.96831,26.7606,6.33803,46.831,27.0221,32.7465,26.4085,6568.49,3608.14,53.169,46.1268,SP
1717,CIANORTE,1349.0,51.8005,3.38028,29.7257,9.56264,51.8162,26.7243,42.4018,9.41438,4893.18,3039.1,44.1722,47.9615,PR
1718,BARRA BONITA,342.0,21.893,2.38596,32.1637,0.0,60.2339,51.2265,31.2866,58.7719,6750.38,2593.23,89.1813,73.0994,SC
1719,SAO JERONIMO DA SERRA,1357.0,43.051,2.96979,36.3301,19.8231,30.2137,44.1968,35.8143,6.92704,4602.62,3487.74,56.9639,48.1209,PR
1720,SAUDADES,1120.0,16.0387,2.64375,37.5,0.0,59.1071,30.3398,38.5714,46.6071,7891.29,2424.28,89.7321,64.375,SC
1721,FERRAZ DE VASCONCELOS,16.0,6.32194,3.75,18.75,0.0,18.75,2.66433,12.5,6.25,2078.8,0.0,37.5,56.25,SP
1722,BIRITIBAMIRIM,433.0,20.7744,6.23095,3.23326,3.4642,6.46651,2.16199,1.38568,0.692841,4051.38,0.0,82.679,39.4919,SP
1723,CAMPINA DO MONTE ALEGRE,141.0,103.464,3.19858,37.5887,0.0,53.9007,27.463,47.5177,9.92908,7209.21,4251.49,42.963,51.0638,SP
1724,NOVA SANTA BARBARA,186.0,24.4471,2.59677,64.5161,11.2903,15.0538,5.43045,14.5161,2.15054,2567.89,3146.43,50.0,53.2258,PR
1725,POA,7.0,5.90429,7.0,0.0,0.0,28.5714,22.2115,0.0,14.2857,0.0,0.0,28.5714,57.1429,SP
1726,ITAPEVI,5.0,4.2082,4.6,20.0,0.0,20.0,8.83513,0.0,20.0,4225.0,0.0,40.0,40.0,SP
1727,ALAMBARI,168.0,86.8245,5.52976,17.8571,3.57143,64.2857,37.7828,46.4286,16.6667,2793.09,3331.46,39.2857,32.1429,SP
1728,ITAPORANGA,924.0,35.9654,1.78788,15.8009,2.92208,61.3636,53.604,41.4502,26.6234,6485.45,3880.57,47.3456,56.1688,SP
1729,JUSSARA,227.0,80.277,7.53745,59.0308,3.52423,30.837,2.50538,17.1806,3.96476,5128.56,3104.88,63.4361,37.4449,PR
1730,CRUZEIRO DO OESTE,1019.0,69.1684,2.99607,21.1973,6.3788,66.2414,49.336,51.7174,18.3513,2888.25,2541.43,23.1755,49.1658,PR
1731,IVATUBA,88.0,90.9761,3.31818,96.5909,0.0,2.27273,0.204037,3.40909,4.54545,6442.88,3528.44,96.5909,31.8182,PR
1732,SUZANO,349.0,10.7343,4.62178,2.5788,2.00573,11.1748,7.74893,2.00573,2.29226,806.175,0.0,66.4756,43.8395,SP
1733,ADOLFO,82.0,174.442,6.95122,13.4146,46.3415,34.1463,8.57788,29.2683,1.21951,2208.94,2638.35,33.3333,32.9268,SP
1734,CONSELHEIRO MAIRINCK,218.0,75.6599,4.08716,16.9725,7.33945,71.1009,61.4071,41.7431,30.2752,5251.25,3868.88,34.8624,41.2844,PR
1735,SANTA CECILIA DO PAVAO,180.0,46.7586,2.96667,70.5556,2.77778,17.7778,24.1588,35.5556,5.0,3770.58,3249.75,77.2222,45.5556,PR
1736,CAMBIRA,554.0,24.6332,2.30325,52.3466,21.1191,21.2996,18.39,21.6607,9.38628,4809.34,3304.96,75.8123,32.13,PR
1737,MAIRINQUE,117.0,49.1009,4.23932,8.54701,4.2735,46.1538,16.0352,19.6581,11.9658,5412.73,3471.07,26.087,23.9316,SP
1738,SAO JORGE DO PATROCINIO,688.0,27.9333,2.43314,10.7558,21.657,65.843,68.5194,60.7558,18.0233,2101.26,2968.59,66.6667,54.2151,PR
1739,SALESOPOLIS,332.0,71.77,2.69277,3.91566,0.903614,17.1687,8.47383,15.0602,6.0241,2994.73,0.0,25.0,44.2771,SP
1740,CONGONHINHAS,974.0,34.8365,2.91376,34.9076,20.9446,39.2197,41.0718,31.8275,18.0698,3647.19,3187.43,49.692,49.5893,PR
1741,SALTO DE PIRAPORA,224.0,56.4635,3.49107,14.7321,12.5,46.875,21.8146,29.0179,13.3929,6428.07,3907.41,45.1613,47.7679,SP
1742,TAPEJARA,289.0,184.628,5.98962,18.3391,5.19031,73.3564,41.0687,44.6367,31.4879,869.305,1986.16,28.0277,41.8685,PR
1743,PARANHOS,294.0,359.688,3.72109,16.6667,0.0,82.9932,72.0516,58.1633,27.551,4700.56,2622.48,16.6667,53.7415,MS
1744,ARACOIABA DA SERRA,315.0,37.5662,3.24444,25.0794,2.85714,49.5238,54.9854,27.9365,16.1905,4188.11,2402.12,39.8089,47.619,SP
1745,SANTO ANTONIO DO PARAISO,179.0,77.9753,3.64804,58.1006,18.9944,18.4358,16.792,8.93855,4.46927,4844.93,3479.44,70.9497,39.6648,PR
1746,MARCOS PARENTE,421.0,71.5376,2.65321,54.6318,0.23753,43.2304,26.4208,29.4537,0.950119,1480.49,0.0,20.19,52.4941,PI
1747,UMUARAMA,1818.0,59.5817,2.98405,13.7514,5.9956,67.8218,61.9425,51.5952,16.3916,3713.42,2902.58,43.1243,41.6942,PR
1748,ITAQUAQUECETUBA,49.0,7.0631,4.14286,2.04082,8.16327,14.2857,16.5124,6.12245,8.16327,8461.54,0.0,50.0,46.9388,SP
1749,GUAPIRAMA,325.0,54.7011,2.56,18.1538,3.07692,74.1538,59.2128,55.0769,19.0769,4581.71,3761.9,48.9231,38.4615,PR
1750,APUCARANA,1308.0,34.4543,2.98394,34.4801,26.7584,28.3639,18.7122,23.3945,10.474,5657.65,3476.85,70.3448,46.1774,PR
1751,ALUMINIO,8.0,405.085,3.5,0.0,12.5,75.0,6.13019,25.0,12.5,0.0,0.0,0.0,25.0,SP
1752,JUNDIAI DO SUL,324.0,93.8169,3.07407,24.3827,8.95062,64.5062,67.018,41.9753,29.9383,3773.29,3246.62,32.4074,38.2716,PR
1753,TAQUARITUBA,594.0,62.9298,3.8064,36.7003,11.1111,48.3165,16.7614,38.5522,21.3805,6375.38,3943.29,60.2369,64.3098,SP
1754,TACURU,686.0,232.711,2.71137,20.2624,0.437318,78.7172,70.3815,56.9971,29.8834,4600.09,2732.21,18.2216,46.793,MS
1755,NOVA OLIMPIA,258.0,47.7855,2.87597,10.0775,3.10078,84.8837,55.9351,53.876,27.907,2083.45,2231.41,45.7364,43.4109,PR
1756,ITAPETININGA,1291.0,97.2296,6.67622,18.5128,5.03486,48.1797,23.4213,34.0821,18.9001,6607.31,3990.15,53.5489,55.306,SP
1757,SERRA ALTA,427.0,19.2135,2.10304,28.5714,0.468384,53.3958,25.4481,25.7611,47.3068,8298.78,3649.03,85.9485,61.1241,SC
1758,ARACARIGUAMA,10.0,37.23,3.5,10.0,10.0,60.0,81.8748,50.0,10.0,7500.0,0.0,20.0,50.0,SP
1759,SOROCABA,193.0,62.5923,4.11917,15.544,10.3627,41.4508,32.5354,25.3886,10.8808,7382.73,3785.6,40.3226,48.1865,SP
1760,FORMOSA DO SUL,388.0,24.6837,2.01546,17.7835,0.257732,72.9381,52.5097,39.1753,45.6186,6845.48,3316.74,88.8601,63.1443,SC
1761,TEJUPA,309.0,58.1127,4.42718,12.2977,41.4239,34.9515,41.0653,50.8091,8.41424,5858.18,3815.4,53.7217,55.9871,SP
1762,SAO SEBASTIAO DA AMOREIRA,184.0,88.755,3.00543,66.3043,14.6739,12.5,4.85106,9.23913,3.26087,6094.94,4153.43,76.087,30.4348,PR
1763,ARAPONGAS,568.0,49.5924,3.94014,42.0775,12.3239,33.9789,4.90779,23.5915,10.5634,5273.36,3745.79,70.7747,50.3521,PR
1764,IPERO,160.0,28.3634,3.75625,36.875,10.625,33.75,31.0887,23.75,12.5,3968.19,2268.1,35.0,56.875,SP
1765,JAGUARIUNA,67.0,91.117,8.8806,25.3731,17.9104,34.3284,24.9812,29.8507,8.95522,7865.86,2400.0,65.6716,32.8358,SP
1766,ALTO PARAISO,301.0,246.5,3.10299,7.97342,0.996678,89.701,76.276,61.1296,6.31229,383.707,0.0,10.5085,49.1694,PR
1767,MANDAGUARI,743.0,33.1516,3.42665,29.3405,25.572,36.3392,42.4826,35.1279,6.59489,4144.7,3425.33,60.4307,50.8748,PR
1768,NOVA FATIMA,245.0,87.9131,5.14694,37.9592,27.3469,30.6122,28.7186,13.4694,8.57143,5637.94,3432.77,38.7755,41.6327,PR
1769,DORES DO TURVO,383.0,36.9005,2.98695,15.4047,1.30548,72.3238,62.3836,23.7598,54.3081,3323.38,0.0,31.6754,71.2794,MG
1770,ARUJA,127.0,3.72575,4.30709,3.93701,2.3622,9.44882,22.2491,3.14961,2.3622,1377.41,0.0,60.6299,41.7323,SP
1771,SAO ROQUE,142.0,13.4041,4.9507,3.52113,7.04225,21.831,32.9144,7.04225,4.92958,5610.82,4132.23,51.4085,33.0986,SP
1772,PIRAPORA DO BOM JESUS,11.0,64.1509,3.0,18.1818,0.0,45.4545,19.5094,18.1818,36.3636,478.41,0.0,10.0,36.3636,SP
1773,OLIVEDOS,550.0,37.1376,3.26909,33.0909,0.0,64.7273,85.2128,33.8182,28.0,341.599,0.0,26.9091,51.0909,PB
1774,GUARAREMA,221.0,51.8067,4.49321,4.52489,13.5747,40.2715,25.7658,19.0045,15.3846,4828.14,0.0,45.7014,40.2715,SP
1775,OURIZONA,203.0,78.5428,3.29064,83.2512,2.95567,11.33,1.19194,10.3448,4.92611,5546.66,3375.4,86.2069,39.4089,PR
1776,JOAQUIM TAVORA,665.0,41.0938,2.13684,9.77444,7.96992,77.2932,68.0599,55.7895,24.6617,3829.4,3596.55,23.4586,49.7744,PR
1777,MARIALVA,1351.0,26.4587,2.88379,44.1155,36.2694,9.32642,13.2437,8.36417,4.2191,5264.61,3650.28,80.0888,48.2605,PR
1778,SAO JORGE DO IVAI,253.0,121.418,4.19368,75.0988,4.74308,13.0435,2.16346,7.90514,3.55731,5661.85,3595.12,78.2609,27.668,PR
1779,BOM JESUS DOS PERDOES,65.0,24.7052,3.83077,6.15385,3.07692,44.6154,46.493,20.0,16.9231,0.0,0.0,40.0,47.6923,SP
1780,PARAIBUNA,368.0,90.4157,3.91848,5.97826,3.53261,65.7609,37.6411,33.1522,32.8804,5957.7,0.0,15.5313,39.6739,SP
1781,ASSAI,598.0,49.9651,2.97157,65.8863,9.86622,16.388,15.9092,19.398,4.8495,5537.56,3390.84,79.7659,47.6589,PR
1782,NATIVIDADE DA SERRA,563.0,78.6514,3.08348,7.28242,3.19716,76.3766,46.131,41.2078,36.4121,2012.42,0.0,10.1604,52.0426,SP
1783,POCO DAS ANTAS,468.0,11.7458,1.91239,27.9915,2.99145,29.9145,6.71526,42.9487,15.5983,6127.9,0.0,69.4444,82.4786,RS
1784,GUARULHOS,83.0,8.47729,4.0241,6.0241,2.40964,24.0964,19.9136,1.20482,2.40964,13617.3,0.0,42.6829,40.9639,SP
1785,PARANAPANEMA,582.0,135.186,6.70103,19.5876,6.35739,49.1409,20.9352,34.3643,16.8385,8277.69,4029.5,50.0867,41.2371,SP
1786,SAO CARLOS DO IVAI,152.0,142.564,5.96053,53.9474,2.63158,38.8158,16.4821,32.8947,7.23684,5648.97,3068.83,62.5,31.5789,PR
1787,FARTURA,475.0,48.7077,3.11158,8.8421,36.6316,50.5263,60.5914,51.7895,13.4737,5836.07,3209.06,57.8947,52.4211,SP
1788,SABAUDIA,326.0,53.0222,3.74233,58.8957,5.82822,30.6748,18.3899,28.8344,10.4294,4824.61,3504.75,75.1534,51.5337,PR
1789,ANGATUBA,931.0,91.428,3.58539,18.797,3.32975,64.232,25.9898,43.1794,24.0602,6637.11,4173.84,23.7527,58.5392,SP
1790,BARAO DE ANTONINA,219.0,34.0736,2.25114,12.3288,9.58904,57.0776,61.384,42.4658,19.6347,5334.82,4363.64,33.3333,47.9452,SP
1791,GUAREI,764.0,64.4084,3.02487,14.3979,0.78534,76.4398,41.1227,52.7487,25.6544,5779.08,3433.7,25.0,60.3403,SP
1792,FRANCO DA ROCHA,137.0,7.0115,2.53285,5.83942,22.6277,37.2263,10.4864,4.37956,5.10949,3500.0,0.0,7.29927,36.4963,SP
1793,NOVA AMERICA DA COLINA,166.0,48.1533,9.87952,36.747,22.2892,34.3373,30.2201,33.1325,5.42169,5264.91,3813.97,60.8434,46.3855,PR
1794,FLORAI,218.0,83.8928,4.66972,51.8349,9.63303,31.1927,8.53796,27.0642,5.50459,5454.96,3017.38,67.9245,39.4495,PR
1795,MARINGA,654.0,45.1313,3.36239,48.9297,9.48012,25.5352,5.93995,15.4434,7.95107,5516.82,3407.78,59.1743,45.5658,PR
1796,FRANCISCO MORATO,26.0,4.45465,2.34615,0.0,7.69231,73.0769,42.5916,7.69231,11.5385,10000.0,0.0,7.69231,42.3077,SP
1797,DIVINESIA,237.0,26.4188,2.29958,18.1435,5.90717,62.8692,56.3246,24.0506,46.8354,3264.55,0.0,16.8776,51.8987,MG
1798,SENADOR CANEDO,208.0,58.6643,6.22596,9.13461,1.44231,82.2115,64.8722,35.0962,45.1923,4559.37,3290.56,16.8269,26.4423,GO
1799,BERNARDINO DE CAMPOS,254.0,65.8546,4.39764,44.8819,7.08661,32.6772,18.314,36.2205,14.1732,6243.37,3877.97,69.2,56.6929,SP
1800,RIBEIRAO DO PINHAL,602.0,48.0011,2.61628,21.7608,13.1229,57.9734,44.3073,29.9003,22.5914,4466.2,3444.27,36.2126,47.8405,PR
1801,ITAI,613.0,126.971,5.80261,28.2219,14.845,50.0816,19.0505,46.6558,13.7031,7273.25,3894.15,45.2459,46.6558,SP
1802,ROSARIO DA LIMEIRA,399.0,14.7507,3.36341,0.75188,68.6717,28.8221,61.6408,20.0501,24.0602,2973.03,0.0,26.0652,42.6065,MG
1803,TATUI,342.0,70.8378,6.05848,26.9006,2.92398,59.6491,23.1335,35.9649,18.7134,6730.16,3818.22,29.2398,39.7661,SP
1804,ABATIA,673.0,30.8548,2.82021,41.7533,18.2764,30.1634,36.6132,33.581,11.5899,4596.12,3091.01,67.9049,55.7207,PR
1805,MAIRIPORA,72.0,13.7256,2.47222,2.77778,4.16667,62.5,14.3261,4.16667,2.77778,9037.08,0.0,8.33333,41.6667,SP
1806,CABREUVA,102.0,95.5278,8.55882,5.88235,3.92157,63.7255,39.5384,30.3922,14.7059,7162.02,0.0,30.6931,23.5294,SP
1807,ICARAIMA,630.0,91.2931,2.93175,16.8254,3.49206,77.7778,58.4709,50.1587,30.9524,3224.17,2479.34,31.8841,42.0635,PR
1808,NOVAIS,91.0,83.3746,6.42857,49.4506,30.7692,18.6813,4.4739,17.5824,3.2967,4132.23,0.0,72.2222,46.1538,SP
1809,CIDADE GAUCHA,332.0,105.62,4.7741,16.5663,5.12048,71.3855,46.4202,44.5783,17.7711,4318.47,2766.39,58.1818,44.2771,PR
1810,TORRE DE PEDRA,175.0,45.223,2.45714,8.57143,0.571429,85.1429,72.5798,57.7143,22.2857,3868.52,0.0,2.85714,39.4286,SP
1811,JAMBEIRO,105.0,95.4297,4.73333,3.80952,0.0,91.4286,44.1765,53.3333,40.0,8252.43,0.0,16.1905,34.2857,SP
1812,BOITUVA,191.0,59.0104,7.32461,29.3194,4.18848,60.733,30.0812,44.5026,13.089,6742.17,2445.76,37.037,58.1152,SP
1813,CAPIM,78.0,73.0395,8.64103,57.6923,5.12821,20.5128,7.77207,38.4615,2.5641,425.979,0.0,26.9231,62.8205,PB
1814,GOIANIA,461.0,42.5331,4.03688,6.50759,3.03688,53.5792,58.7432,20.8243,27.5488,7444.55,3346.27,39.2625,37.0933,GO
1815,DOURADINA,512.0,80.2826,3.29492,20.5078,3.90625,72.2656,63.8586,58.3984,9.375,4942.53,2400.0,25.7813,36.9141,PR
1816,CARLOPOLIS,1273.0,20.4163,3.14218,10.1335,47.5255,40.3771,55.3147,39.7486,9.89788,4873.94,3178.47,57.502,46.033,PR
1817,TAPIRA,625.0,68.3548,3.3216,18.4,2.24,75.84,62.0978,59.68,22.56,3897.03,3116.88,40.4187,39.52,PR
1818,IVATE,531.0,66.961,3.63277,21.2806,3.9548,68.7382,35.7882,48.0226,12.9944,4144.98,2912.7,16.7925,43.6912,PR
1819,SARUTAIA,125.0,65.6477,2.656,12.8,26.4,48.0,37.294,46.4,6.4,4989.22,3994.15,44.8,47.2,SP
1820,ROLANDIA,666.0,49.0508,4.1952,47.7477,20.7207,19.3694,3.04798,14.2643,4.65465,4562.16,3793.49,66.967,40.3904,PR
1821,CUITE DE MAMANGUAPE,723.0,8.34858,2.08437,51.4523,0.0,21.1618,65.8287,22.545,3.04288,722.647,0.0,3.87275,49.2393,PB
1822,ITU,247.0,119.319,7.45749,11.336,4.04858,59.1093,41.4904,43.3198,10.1215,5093.48,3000.0,32.7935,28.3401,SP
1823,VANINI,320.0,17.238,2.41563,62.5,1.5625,29.6875,8.42073,18.4375,34.375,8273.22,3546.09,94.9686,67.1875,RS
1824,CAJAMAR,72.0,7.76006,2.75,2.77778,8.33333,37.5,7.03728,4.16667,1.38889,3185.42,0.0,0.0,27.7778,SP
1825,SAO SEBASTIAO DA VARGEM ALEGRE,516.0,12.2423,3.73643,1.35659,60.4651,34.4961,55.0168,33.1395,16.6667,1438.08,0.0,84.3023,62.5969,MG
1826,CESARIO LANGE,197.0,51.3746,3.77665,14.2132,2.03046,80.203,25.2618,35.533,26.3959,6637.85,3226.01,15.736,51.269,SP
1827,MANDAGUACU,346.0,68.5901,4.39884,50.0,4.62428,39.5954,9.13702,26.0116,7.80347,4840.69,3382.07,47.9769,54.3353,PR
1828,ANGULO,265.0,34.8365,2.60755,53.9623,1.50943,41.8868,23.7121,29.8113,16.9811,5248.34,3258.21,63.7736,34.3396,PR
1829,CERQUILHO,180.0,42.1817,10.7556,22.7778,0.555556,70.0,29.4528,66.6667,6.66667,5723.84,3961.47,31.1111,43.3333,SP
1830,MIRADOR,175.0,119.145,5.52,25.1429,1.14286,66.2857,33.0856,37.7143,36.0,4468.9,2712.88,57.5581,34.2857,PR
1831,MONSENHOR PAULO,367.0,43.0776,5.3624,7.62943,52.0436,37.6022,53.0229,37.0572,29.1553,7090.13,4320.0,76.2943,47.6839,MG
1832,SANTO ANTONIO DA PLATINA,1638.0,35.8087,2.06532,26.4347,7.02076,60.8669,61.1091,36.3858,22.2222,4427.64,3086.78,33.4148,52.6252,PR
1833,SEDE NOVA,335.0,29.0604,2.75821,54.6269,0.0,44.4776,8.57616,22.9851,60.2985,8404.98,3506.33,95.5224,72.2388,RS
1834,IGUARACU,223.0,67.9412,3.09865,41.704,2.24215,48.4305,12.8969,28.6996,10.3139,5576.91,3348.82,46.1883,32.7354,PR
1835,PITANGUEIRAS,247.0,48.1832,3.54656,32.3887,43.3198,20.6478,3.61353,12.1457,3.64372,5482.83,4001.23,76.5182,42.915,PR
1836,RIBEIRAO CLARO,799.0,52.0581,2.34668,3.37922,25.4068,69.3367,79.4548,64.831,14.1427,4251.31,3279.52,23.0288,44.9312,PR
