,municipio,V1,V2,V3,V8,V9,V10,V17,V20,V21,V25,V26,V34,V39,uf
40,SOMBRIO,602.0,12.2351,3.23588,51.9934,29.9003,15.4485,25.6593,35.8804,19.7674,5111.39,0.0,80.0664,68.7708,SC
41,ANTONIO CARLOS,545.0,12.1464,2.57798,20.9174,5.3211,18.7156,16.9985,45.8716,2.56881,6459.97,0.0,65.6881,75.0459,SC
42,APORE,275.0,889.301,6.34545,4.72727,1.09091,92.7273,63.0141,82.1818,11.6364,5639.84,3283.41,16.0,27.6364,GO
43,LAGOA VERMELHA,1034.0,82.1406,3.19826,50.9671,1.45068,45.7447,18.367,44.294,32.1083,8099.71,3639.92,73.4043,63.7331,RS
44,LAGES,1389.0,187.805,3.54212,13.031,0.719942,70.1944,55.9512,57.0914,23.1102,5911.41,3158.4,24.0634,45.7883,SC
45,SAO DOMINGOS,653.0,43.5426,3.09342,51.7611,0.153139,46.5544,15.3317,29.4028,47.1669,10589.5,3475.05,93.1087,62.3277,SC
46,PAICANDU,179.0,78.5785,3.4581,84.9162,0.0,13.4078,2.64612,12.2905,7.82123,5392.79,2905.04,85.4749,40.2235,PR
47,PLANALTO ALEGRE,357.0,15.4669,2.56863,33.3333,0.840336,58.2633,30.2651,26.0504,51.5406,7220.72,2375.35,87.9552,63.3053,SC
48,INDIANOPOLIS,398.0,23.1627,2.69598,17.3367,7.03518,69.0955,34.5295,56.5327,10.804,3626.7,1938.28,43.2161,45.4774,PR
49,GALVAO,270.0,41.0508,3.81481,34.4444,0.0,64.4444,29.7748,29.2593,57.7778,7993.25,3195.71,87.037,57.4074,SC
50,TIBAGI,1040.0,219.473,4.48846,53.5577,2.01923,35.1923,11.5801,32.0192,13.2692,8248.5,3861.8,61.0577,53.4615,PR
51,PERITIBA,354.0,22.3931,2.53672,27.4011,2.82486,66.3842,25.2555,28.2486,60.1695,6984.25,3128.39,65.2542,40.9605,SC
52,RIO GRANDE DA SERRA,5.0,3.8944,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,SP
53,ESPERANCA NOVA,352.0,37.3788,2.24716,7.95455,3.97727,86.0795,82.4454,58.2386,28.4091,979.163,0.0,14.245,55.1136,PR
54,SAO CAETANO DO SUL,5.0,0.883,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,SP
55,TERRA BOA,451.0,57.5557,2.61197,42.5721,10.643,41.9069,7.31358,33.2594,4.21286,4618.47,3295.77,50.3326,47.4501,PR
56,JANDIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SP
57,TAGUAI,165.0,58.0092,3.93333,10.9091,32.7273,50.303,62.0498,65.4545,9.09091,5641.04,3867.89,50.9091,54.5455,SP
58,SALTO,73.0,66.3105,7.75342,26.0274,4.10959,45.2055,33.8635,27.3973,10.9589,5148.45,2835.85,52.0548,32.8767,SP
59,JACAREI,398.0,48.699,7.65829,7.78894,5.52764,60.3015,62.1121,34.6734,23.8693,706.645,0.0,18.9394,38.191,SP
60,JATAIZINHO,222.0,60.9195,3.33333,47.2973,5.40541,40.5405,30.3751,26.5766,11.7117,4621.73,3381.83,55.4054,35.1351,PR
61,LOUVEIRA,136.0,8.9206,5.5,8.08823,62.5,7.35294,13.5567,2.20588,0.735294,2055.62,0.0,81.6176,61.0294,SP
62,CANITAR,21.0,292.521,6.80952,85.7143,0.0,9.52381,4.88431,0.0,14.2857,5105.13,3301.7,57.1429,33.3333,SP
63,ARRAIAL DO CABO,7.0,0.312143,2.28571,14.2857,14.2857,57.1429,0.0,0.0,0.0,0.0,0.0,0.0,57.1429,RJ
64,MARICA,294.0,35.2684,2.17687,12.2449,21.0884,61.5646,47.8846,29.2517,9.52381,2255.99,0.0,1.70068,44.2177,RJ
65,TANGUA,441.0,22.5484,2.49206,10.4308,65.0794,21.0884,46.9606,17.4603,2.26757,2706.9,0.0,52.8345,60.3175,RJ
66,SANTO INACIO,225.0,121.238,5.01778,32.8889,2.22222,64.0,28.396,44.8889,31.5556,4294.47,3131.3,55.5556,44.4444,PR
67,RIBEIRAO DO SUL,253.0,77.1623,2.75099,49.0119,16.996,27.2727,8.62913,18.1818,14.6245,5196.22,3625.29,68.3794,42.2925,SP
68,LINDOIA,64.0,30.7128,3.95313,10.9375,21.875,54.6875,54.7973,42.1875,31.25,5191.51,0.0,32.8125,45.3125,SP
69,GUAPIMIRIM,258.0,67.3314,2.74031,18.9922,17.8295,56.9767,69.9595,18.9922,15.8915,967.669,0.0,12.5984,46.8992,RJ
70,NOVO GAMA,79.0,146.806,5.27848,7.59494,1.26582,77.2152,42.2061,11.3924,62.0253,7730.74,3000.0,15.1899,34.1772,GO
71,SENADOR SALGADO FILHO,539.0,23.4359,2.52505,66.9759,0.185529,31.5399,10.5133,25.4174,47.6809,7127.66,3370.98,87.9406,74.5826,RS
72,SILVEIRANIA,236.0,50.7161,2.5678,8.8983,1.69492,87.2881,72.2837,43.6441,48.7288,1794.0,0.0,38.1356,48.3051,MG
73,SAO JOSE DO VALE DO RIO PRETO,689.0,21.1743,4.09579,5.80552,13.4978,21.9158,27.3086,6.67634,3.0479,1250.0,0.0,47.093,64.1509,RJ
74,ANAURILANDIA,777.0,349.975,3.17761,7.72201,0.900901,90.2188,75.2228,64.8649,26.7696,4486.35,2862.3,15.1866,36.9369,MS
75,BANDEIRA DO SUL,160.0,21.7679,2.94375,17.5,36.875,43.125,60.3019,30.625,23.125,2372.44,3900.0,35.2201,61.875,MG
76,AMERICO BRASILIENSE,17.0,736.897,181.0,23.5294,5.88235,23.5294,0.149338,11.7647,11.7647,1007.19,0.0,29.4118,47.0588,SP
77,SENADOR CORTES,115.0,63.8348,2.92174,12.1739,0.869565,86.087,69.0529,46.087,46.9565,480.0,0.0,12.1739,47.8261,MG
78,MINEIROS DO TIETE,94.0,186.069,4.39362,34.0426,13.8298,37.234,12.364,38.2979,11.7021,5900.39,3506.64,44.6809,17.0213,SP
79,TIMBURI,139.0,67.7986,4.0,7.91367,54.6763,28.777,48.3023,38.1295,11.5108,4132.91,3542.94,51.7986,61.8705,SP
80,MARACAJU,701.0,683.989,8.16262,57.204,0.85592,39.9429,22.4908,46.077,9.84308,5248.46,3385.7,51.4979,32.9529,MS
81,CATIGUA,48.0,204.202,3.79167,27.0833,14.5833,47.9167,3.81019,29.1667,14.5833,2916.67,0.0,47.9167,25.0,SP
82,UNIFLOR,226.0,42.2463,3.79646,32.3009,3.53982,47.3451,22.8626,30.9735,6.63717,4863.16,3341.49,37.1681,29.646,PR
83,ICONHA,1023.0,14.2878,2.61388,0.977517,81.4272,17.0088,46.06,25.4154,12.5122,2950.2,0.0,72.6027,67.5464,ES
84,AREIOPOLIS,21.0,314.042,3.19048,33.3333,9.52381,19.0476,4.70343,28.5714,0.0,0.0,0.0,33.3333,9.52381,SP
85,SIDROLANDIA,4087.0,104.071,2.99241,23.0732,0.954245,72.7428,40.4933,39.8092,33.0316,5118.85,3412.36,21.6593,54.0494,MS
86,SAO JOSE DOS CAMPOS,544.0,79.9956,3.17279,7.72059,1.28676,81.25,48.6235,38.7868,39.1544,5899.7,0.0,13.7868,36.3971,SP
87,SENADOR AMARAL,590.0,11.4845,2.62881,11.3559,0.847458,18.8136,52.4346,7.28814,17.9661,6654.52,0.0,62.8814,53.0508,MG
88,SAO ROQUE DE MINAS,1055.0,82.1761,2.61422,6.72986,14.3128,77.5355,65.7089,29.6682,53.0806,6191.63,3582.5,40.7583,60.5687,MG
89,SANTO ANTONIO DO MONTE,1341.0,62.089,3.18494,4.62342,0.894855,90.082,68.3235,49.739,42.8039,4479.58,0.0,6.56716,58.613,MG
90,SAO GONCALO DO PARA,390.0,42.6976,3.34872,11.2821,0.769231,81.5385,66.7233,42.5641,45.641,4503.23,0.0,7.4359,64.6154,MG
91,IGARACU DO TIETE,42.0,170.253,12.1667,80.9524,0.0,2.38095,0.337733,9.52381,2.38095,0.0,0.0,59.5238,42.8571,SP
92,MOEMA,310.0,55.0124,2.8871,8.06452,0.0,90.3226,64.8111,35.1613,57.7419,1656.0,0.0,11.6129,59.6774,MG
93,COMENDADOR GOMES,498.0,184.742,4.13655,2.00803,2.20884,94.9799,55.747,56.0241,37.1486,2083.33,2958.73,32.9317,42.3695,MG
94,BANDEIRANTES,704.0,379.635,3.77131,21.4489,1.5625,75.5682,57.2579,44.3182,33.0966,4936.87,3263.63,21.5909,47.5852,MS
95,LEANDRO FERREIRA,265.0,88.4723,2.81132,9.0566,0.0,89.0566,66.2852,35.8491,56.9811,2587.09,3250.0,12.8302,47.5472,MG
96,RIBAS DO RIO PARDO,1203.0,1326.49,4.45802,8.1463,0.74813,85.2868,65.0438,76.8911,11.0557,5643.08,2911.59,15.9601,30.8396,MS
97,CACHOEIRA DA PRATA,35.0,109.082,5.31429,11.4286,0.0,77.1429,67.916,37.1429,42.8571,1840.99,0.0,22.8571,60.0,MG
98,INHAUMA,183.0,118.909,5.21858,17.4863,0.546448,80.3279,60.177,30.0546,44.8087,2296.15,0.0,27.8689,36.0656,MG
99,CAMPOS ALTOS,411.0,136.572,12.1922,9.24574,50.365,37.4696,36.4235,22.1411,30.1703,9490.62,3461.79,67.8832,42.3358,MG
100,PASSABEM,155.0,40.9045,2.32258,45.8064,0.645161,52.9032,68.3657,31.6129,41.2903,2223.82,0.0,5.16129,73.5484,MG
101,BARBOSA,109.0,88.1057,3.07339,18.3486,2.75229,72.4771,27.4568,32.1101,46.789,5446.58,2502.79,35.7798,34.8624,SP
102,BALDIM,354.0,103.547,3.87853,14.9718,9.03955,54.2373,49.6965,30.791,33.6158,4723.2,3120.0,35.3107,50.0,MG
103,CORDISBURGO,510.0,110.943,3.52157,17.451,0.784314,69.6078,58.2476,29.0196,51.5686,3057.38,0.0,29.4118,59.2157,MG
104,RIO PARANAIBA,1080.0,98.0574,8.65833,11.6667,19.7222,65.0926,42.6256,23.0556,50.7407,9244.77,3712.47,44.8148,58.7963,MG
